Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
151,Ware,451.562500,off,0.000000,DTCS,88.5,88.5,115,NN,023,Tone->Tone,NFM,5.00,,5.0W,Cody Ware,,,,
154,Gibbs,462.500000,off,0.000000,DTCS,88.5,88.5,031,NN,023,Tone->Tone,NFM,5.00,,5.0W,Ty Gibbs,,,,
155,CUP 55-2,456.587500,off,0.000000,TSQL,88.5,173.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
160,Preece,463.450000,off,0.000000,TSQL,88.5,254.1,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Ryan Preece,,,,
162,CUP 62-2,467.887500,off,0.000000,DTCS,88.5,88.5,051,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
166,CUP 66-2,467.687500,off,0.000000,DTCS,88.5,88.5,565,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
167,CUP 67-2,451.237500,off,0.000000,DTCS,88.5,88.5,251,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
171,McDowell,453.637500,off,0.000000,TSQL,88.5,167.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Michael McDowell,,,,
177,Hocevar,465.162500,off,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Carson Hocevar,,,,
178,CUP 78-2,468.962500,off,0.000000,DTCS,88.5,88.5,343,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
184,CUP 84-2,467.500000,off,0.000000,DTCS,88.5,88.5,503,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
188,Gisbergen,463.825000,off,0.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Shane Gisbergen,,,,
191,CUP 91-2,466.300000,off,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
199,Suarez,469.812500,off,0.000000,TSQL,88.5,206.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Daniel Suarez,,,,
200,NAS,461.200000,off,0.000000,DTCS,88.5,88.5,432,NN,023,Tone->Tone,NFM,5.00,,5.0W,Race Control,,,,
201,NAS 2,464.600000,off,0.000000,DTCS,88.5,88.5,631,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
202,NAS 5,451.225000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Safety / Fire,,,,
203,NAS 10,451.575000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
204,FOX,450.237500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
205,SPEED,450.112500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
206,ROWDY 1,454.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Rowdy Pre-Race Show,,,,
207,ROWDY 2,454.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Rowdy Classic Interviews,,,,
801,BF-888S-1,462.125000,,0.000000,TSQL,88.5,69.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
802,BF-888S-2,462.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
803,BF-888S-3,462.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
804,BF-888S-4,462.425000,,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
805,BF-888S-5,462.525000,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
806,BF-888S-6,462.625000,,0.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
807,BF-888S-7,462.725000,,0.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
808,BF-888S-8,462.825000,,0.000000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
809,BF-888S-9,462.925000,,0.000000,DTCS,88.5,88.5,025,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
810,BF-888S-10,463.025000,,0.000000,DTCS,88.5,88.5,051,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
811,BF-888S-11,463.125000,,0.000000,DTCS,88.5,88.5,125,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
812,BF-888S-12,463.225000,,0.000000,DTCS,88.5,88.5,155,RR,023,Tone->Tone,FM,5.00,,5.0W,,,,,
