Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
14,CUP 14-1,468.087500,off,0.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,NFM,5.00,,5.0W,,,,,
15,CUP 15-1,461.250000,off,0.000000,DTCS,88.5,88.5,532,NN,532,Tone->Tone,NFM,5.00,,5.0W,,,,,
16,CUP 16-1,467.987500,off,0.000000,DTCS,88.5,88.5,223,NN,223,Tone->Tone,NFM,5.00,,5.0W,,,,,
17,CUP 17-1,460.950000,off,0.000000,TSQL,88.5,85.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
19,CUP 19-1,458.175000,off,0.000000,DTCS,88.5,88.5,155,NN,155,Tone->Tone,NFM,5.00,,5.0W,,,,,
20,CUP 20-1,466.012500,off,0.000000,DTCS,88.5,88.5,506,NN,506,Tone->Tone,NFM,5.00,,5.0W,,,,,
21,CUP 21-1,465.887500,off,0.000000,TSQL,88.5,225.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
22,CUP 22-1,464.825000,off,0.000000,DTCS,88.5,88.5,32,NN,32,Tone->Tone,NFM,5.00,,5.0W,,,,,
23,CUP 23-1,463.087500,off,0.000000,DTCS,88.5,88.5,546,NN,546,Tone->Tone,NFM,5.00,,5.0W,,,,,
24,CUP 24-1,453.050000,off,0.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
27,CUP 27-1,460.475000,off,0.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
30,MRN-2,454.200000,off,0.000000,TSQL,88.5,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
33,CUP 33-1,469.637500,off,0.000000,DTCS,88.5,88.5,116,NN,116,Tone->Tone,NFM,5.00,,5.0W,,,,,
34,CUP 34-1,467.112500,off,0.000000,DTCS,88.5,88.5,624,NN,624,Tone->Tone,NFM,5.00,,5.0W,,,,,
35,CUP 35-1,458.664000,off,0.000000,DTCS,88.5,88.5,664,NN,664,Tone->Tone,NFM,5.00,,5.0W,,,,,
36,CUP 36-1,467.850000,off,0.000000,DTCS,88.5,88.5,351,NN,351,Tone->Tone,NFM,5.00,,5.0W,,,,,
38,CUP 38-1,463.312500,off,0.000000,DTCS,88.5,88.5,703,NN,703,Tone->Tone,NFM,5.00,,5.0W,,,,,
40,CUP 40-1,457.987500,off,0.000000,DTCS,88.5,88.5,343,NN,343,Tone->Tone,NFM,5.00,,5.0W,,,,,
41,CUP 41-1,469.137500,off,0.000000,DTCS,88.5,88.5,251,NN,251,Tone->Tone,NFM,5.00,,5.0W,,,,,
42,CUP 42-1,460.162500,off,0.000000,DTCS,88.5,88.5,331,NN,331,Tone->Tone,NFM,5.00,,5.0W,,,,,
43,CUP 43-1,463.337500,off,0.000000,DTCS,88.5,88.5,243,NN,243,Tone->Tone,NFM,5.00,,5.0W,,,,,
44,MRN-1,454.000000,off,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
45,CUP 45-1,467.537500,off,0.000000,DTCS,88.5,88.5,743,NN,743,Tone->Tone,NFM,5.00,,5.0W,,,,,
47,CUP 47-1,457.650000,off,0.000000,DTCS,88.5,88.5,134,NN,134,Tone->Tone,NFM,5.00,,5.0W,,,,,
48,CUP 48-1,451.200000,off,0.000000,DTCS,88.5,88.5,244,NN,244,Tone->Tone,NFM,5.00,,5.0W,,,,,
50,CUP 50-1,460.912500,off,0.000000,DTCS,88.5,88.5,114,NN,114,Tone->Tone,NFM,5.00,,5.0W,,,,,
51,CUP 51-1,466.225000,off,0.000000,DTCS,88.5,88.5,516,NN,516,Tone->Tone,NFM,5.00,,5.0W,,,,,
54,CUP 54-1,467.450000,off,0.000000,DTCS,88.5,88.5,734,NN,734,Tone->Tone,NFM,5.00,,5.0W,,,,,
55,CUP 55-1,461.587500,off,0.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
60,CUP 60-1,468.950000,off,0.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
62,CUP 62-1,451.325000,off,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
63,QUALIFYING,451.575000,off,0.000000,DTCS,88.5,88.5,251,NN,251,Tone->Tone,NFM,5.00,,5.0W,,,,,
66,CUP 66-1,458.537500,off,0.000000,DTCS,88.5,88.5,654,NN,654,Tone->Tone,NFM,5.00,,5.0W,,,,,
67,CUP 67-1,467.812500,off,0.000000,DTCS,88.5,88.5,371,NN,371,Tone->Tone,NFM,5.00,,5.0W,,,,,
71,CUP 71-1,459.037500,off,0.000000,DTCS,88.5,88.5,365,NN,365,Tone->Tone,NFM,5.00,,5.0W,,,,,
77,CUP 77-1,458.212500,off,0.000000,TSQL,88.5,233.6,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
78,CUP 78-1,467.750000,off,0.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
84,CUP 84-1,460.237500,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
88,CUP 88-1,460.337500,off,0.000000,DTCS,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.00,,5.0W,,,,,
91,CUP 91-1,465.437500,off,0.000000,DTCS,88.5,88.5,311,NN,311,Tone->Tone,NFM,5.00,,5.0W,,,,,
99,CUP-99,465.387500,off,0.000000,DTCS,88.5,88.5,226,NN,226,Tone->Tone,NFM,5.00,,5.0W,,,,,
100,NAS 1,461.200000,off,0.000000,DTCS,88.5,88.5,432,NN,432,Tone->Tone,NFM,5.00,,5.0W,,,,,
101,CUP 1-2,469.387500,off,0.000000,TSQL,88.5,186.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
102,CUP 2-2,468.887500,off,0.000000,DTCS,88.5,88.5,412,NN,412,Tone->Tone,NFM,5.00,,5.0W,,,,,
103,CUP 3-2,467.375000,off,0.000000,DTCS,88.5,88.5,261,NN,261,Tone->Tone,NFM,5.00,,5.0W,,,,,
104,CUP 4-2,463.962500,off,0.000000,TSQL,88.5,69.3,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
105,CUP 5-2,458.762500,off,0.000000,DTCS,88.5,88.5,245,NN,245,Tone->Tone,NFM,5.00,,5.0W,,,,,
106,CUP 6-2,461.350000,off,0.000000,DTCS,88.5,88.5,72,NN,72,Tone->Tone,NFM,5.00,,5.0W,,,,,
107,CUP 7-2,468.675000,off,0.000000,DTCS,88.5,88.5,464,NN,464,Tone->Tone,NFM,5.00,,5.0W,,,,,
108,CUP 8-2,457.675000,off,0.000000,DTCS,88.5,88.5,311,NN,311,Tone->Tone,NFM,5.00,,5.0W,,,,,
