Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
28,SB-KVAPIL32-1,461.637500,off,0.000000,DTCS,88.5,88.5,565,NN,565,Tone->Tone,NFM,5.00,,5.0W,,,,,
29,SB-SMITH33-1,462.125000,off,0.000000,TSQL,88.5,118.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
30,SB-GARCIA35-1,462.550000,off,0.000000,DTCS,88.5,88.5,261,NN,261,Tone->Tone,NFM,5.00,,5.0W,,,,,
31,SB-LODEN43-1,466.450000,off,0.000000,DTCS,88.5,88.5,732,NN,732,Tone->Tone,NFM,5.00,,5.0W,,,,,
32,SB-JONES44-1,453.087500,off,0.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
33,SB-DOSS44-1,462.112500,off,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
34,SB-NASSE51-1,458.775000,off,0.000000,DTCS,88.5,88.5,32,NN,32,Tone->Tone,NFM,5.00,,5.0W,,,,,
35,SB-FINCH51-1,461.250000,off,0.000000,DTCS,88.5,88.5,26,NN,26,Tone->Tone,NFM,5.00,,5.0W,,,,,
36,SB-JURKOVIC53-1,468.900000,off,0.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
37,SB-CRAIG54-1,452.287500,off,0.000000,DTCS,88.5,88.5,306,NN,306,Tone->Tone,NFM,5.00,,5.0W,,,,,
38,SB-SUTTON54-1,464.256200,off,0.000000,DTCS,88.5,88.5,174,NN,174,Tone->Tone,NFM,5.00,,5.0W,,,,,
39,SB-WATSON28-1,457.112500,off,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
40,SB-SAUTER55-1,468.625000,off,0.000000,TSQL,88.5,206.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
41,SB-PLYBON55-1,452.475000,off,0.000000,DTCS,88.5,88.5,115,NN,115,Tone->Tone,NFM,5.00,,5.0W,,,,,
42,SB-PREECE62-1,457.387500,off,0.000000,DTCS,88.5,88.5,606,NN,606,Tone->Tone,NFM,5.00,,5.0W,,,,,
43,SB-SAWALICH62-1,457.425000,off,0.000000,TSQL,88.5,254.1,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
44,SB-HINDE69-1,465.350000,off,0.000000,DTCS,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.00,,5.0W,,,,,
45,SB-BRADEN69-1,453.750000,off,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
46,SB-LAPCEVICH76-1,451.562500,off,0.000000,DTCS,88.5,88.5,271,NN,271,Tone->Tone,NFM,5.00,,5.0W,,,,,
47,SB-RAZ76-1,464.500000,off,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
48,SB-SCOTT82-1,461.037500,off,0.000000,DTCS,88.5,88.5,732,NN,732,Tone->Tone,NFM,5.00,,5.0W,,,,,
49,SB-FETCHO89-1,463.350000,off,0.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
50,SB-MAJESKI91-1,461.750000,off,0.000000,DTCS,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.00,,5.0W,,,,,
51,SB-GILLILAND98-1,460.625000,off,0.000000,DTCS,88.5,88.5,506,NN,506,Tone->Tone,NFM,5.00,,5.0W,,,,,
52,SB-MEYER121-1,451.300000,off,0.000000,DTCS,88.5,88.5,331,NN,331,Tone->Tone,NFM,5.00,,5.0W,,,,,
53,SB-VANMETER123-1,468.312500,off,0.000000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,NFM,5.00,,5.0W,,,,,
54,SB-GRILL112-1,464.462500,off,0.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
55,SB-SAMSMITH8-1,462.787500,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
56,SB-HIGORANI13-1,464.987500,off,0.000000,TSQL,88.5,206.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
57,SB-RODERICK26-1,458.775000,off,0.000000,DTCS,88.5,88.5,32,NN,32,Tone->Tone,NFM,5.00,,5.0W,,,,,
59,RACE CONTROL,461.200000,off,0.000000,DTCS,88.5,88.5,432,NN,432,Tone->Tone,NFM,5.00,,5.0W,,,,,
101,SB-KLEYN1-2,469.562500,off,0.000000,TSQL,88.5,210.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
102,SB-BOLEN2-2,463.275000,off,0.000000,DTCS,88.5,88.5,72,NN,72,Tone->Tone,NFM,5.00,,5.0W,,,,,
103,SB-SMITH2-2,451.450000,off,0.000000,DTCS,88.5,88.5,365,NN,365,Tone->Tone,NFM,5.00,,5.0W,,,,,
105,SB-CANCILLA5-2,459.287500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
106,SB-KNEE5-2,467.287500,off,0.000000,DTCS,88.5,88.5,662,NN,662,Tone->Tone,NFM,5.00,,5.0W,,,,,
107,SB-DEANGELES7-2,462.000000,off,0.000000,DTCS,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.00,,5.0W,,,,,
108,SB-THORN7-2,456.668700,off,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
109,SB-PELTIER8-2,457.562500,off,0.000000,DTCS,88.5,88.5,516,NN,516,Tone->Tone,NFM,5.00,,5.0W,,,,,
110,SB-HANSEN8-2,468.537500,off,0.000000,DTCS,88.5,88.5,734,NN,734,Tone->Tone,NFM,5.00,,5.0W,,,,,
111,SB-KRAUS9-2,454.675000,off,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
112,SB-KVAPIL8-2,456.650000,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
114,SB-OKRZESIK14-2,454.287500,off,0.000000,DTCS,88.5,88.5,365,NN,365,Tone->Tone,NFM,5.00,,5.0W,,,,,
115,SB-GOMES16-2,461.250000,off,0.000000,DTCS,88.5,88.5,145,NN,145,Tone->Tone,NFM,5.00,,5.0W,,,,,
